"47","cours 73 - Gym Parent-Bébé","236.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","JEUDI 10h30 -11h30 - Espace Daniel Sorano"
"48","cours 60 - Gym Enfant ""petits/moyens""","206.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","JEUDI 16h30 - 17h15 - Gymnase de l'Ouest"
"49","cours 61 - Gym Enfant ""grands/CP/CE1""","206.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","JEUDI 17h15 - 18h - Gymnase de l'Ouest"
"50","cours 74 - Gym Parent-Bébé","236.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","VENDREDI 15h30 -16h30 - Espace Daniel Sorano"
"51","cours 75 - Gym Enfant ""petits""","206.00","2019-11-09 13:15:30","2019-11-09 13:15:30",NULL,NULL,NULL,"3","VENDREDI 16h45 - 17h30 - Espace Daniel Sorano"
"52","adhésion Vicennois","35.00","2019-11-09 14:08:00","2019-11-09 14:08:00",NULL,NULL,,"4",
"53","adhésion NON Vincennois","45.00","2019-11-09 14:08:30","2019-11-09 14:08:30",NULL,NULL,,"4",
"54","Licence adulte","27.00","2019-11-09 14:09:01","2019-11-09 14:09:01",NULL,NULL,,"4",
"55","licence enfant","17.50","2019-11-09 14:09:18","2019-11-09 14:10:40",NULL,NULL,,"4",
"56","assurance complémentaire","10.00","2019-11-09 14:09:39","2019-11-09 14:09:39",NULL,NULL,,"4",
"57","adhésion Sorano","28.00","2019-11-09 14:09:57","2019-11-09 14:09:57",NULL,NULL,,"4",
"58","certificat médical","0.00","2019-11-09 14:18:35","2019-11-09 14:18:52",NULL,NULL,,"4",
"59","attestation ","0.00","2019-11-09 14:21:35","2019-11-09 14:21:35",NULL,NULL,,"4",
